#NAME?,Target Muscle Group 
Barbell Glute Bridge,Legs
Barbell Halting Deadlift,Back
Barbell High Bar Back Squat,Legs
Barbell Low Bar Back Squat,Legs
Alternating Double Clubbell Front Flag Press,Front Shoulder
Barbell Power Clean,Legs
Barbell Power Snatch,Legs
Double Indian Club Lateral Internal and External Rotations,Rear Shoulder
Barbell Romanian Deadlift,Legs
Single Arm Indian Club Lateral Internal and External Rotation,Rear Shoulder
Barbell Back Rack Split Squat,Legs
Barbell Stiff Legged Deadlift,Legs
Barbell Sumo Back Squat,Legs
Bodyweight Pistol Squat,Legs
Bodyweight Skater Squat,Legs
Cable Pull Through,Legs
Double Dumbbell Suitcase Bulgarian Split Squat,Legs
Double Dumbbell Suitcase Step Up,Legs
Double Dumbbell Suitcase Deficit Split Squat,Legs
Double Dumbbell Suitcase Alternating Forward Lunge,Legs
Double Dumbbell Suitcase Alternating Reverse Lunge,Legs
Double Indian Club Overhead Arm Circles,Middle Shoulder
Double Dumbbell Suitcase Split Squat,Legs
Double Dumbbell Front Rack Alternating Step Up,Legs
Bodyweight Face the Wall Squat,Legs
Bodyweight Feet Elevated Glute Bridge,Legs
Slider Single Arm Kettlebell Bottoms Up Front Rack Contralateral Reverse Lunge,Legs
Slider Single Arm Kettlebell Bottoms Up Front Rack Ipsilateral Reverse Lunge,Legs
Slider Single Arm Kettlebell Overhead Contralateral Reverse Lunge,Legs
Slider Single Arm Kettlebell Overhead Ipsilateral Reverse Lunge,Legs
Slider Single Arm Kettlebell Bottoms Up Overhead Contralateral Reverse Lunge,Legs
Slider Single Arm Kettlebell Bottoms Up Overhead Ipsilateral Reverse Lunge,Legs
Slider Kettlebell Goblet Reverse Lunge,Legs
Miniband Thigh Monster Walk,Legs
Bodyweight Quadruped Hip Extension,Legs
Suspension Pistol Squat,Legs
Suspension Skater Squat,Legs
Bodyweight Tuck Jump,Legs
Bodyweight Alternating Single Leg Wall Sit,Legs
Bodyweight Single Leg Romanian Deadlift Jump,Legs
Double Dumbbell Overhead Walking Lunge,Legs
Stability Ball Double Dumbbell Suitcase Bulgarian Split Squat,Legs
Bodyweight Reverse Nordic,Legs
Bodyweight Alternating Lateral Bench Jump,Legs
Single Arm Dumbbell Front Rack Squat,Legs
Bodyweight Skater Jump,Legs
Slider Single Arm Dumbbell Front Rack Contralateral Reverse Lunge,Legs
Cable Prone Bench Hamstring Curl,Legs
Bodyweight Bulgarian Split Squat Jump,Legs
Cable Standing Single Leg Hamstring Curl,Legs
Bodyweight Nordic Hamstring Curl,Legs
Superband Assisted Pistol Squat,Legs
Slider Double Kettlebell Bottoms Up Front Rack Reverse Lunge,Legs
Double Dumbbell Front Rack Squat,Legs
Double Dumbbell Suitcase Walking Lunge,Legs
Barbell Back Rack Walking Lunge,Legs
Bodyweight Box Pistol Squat,Legs
Barbell Overhead Squat,Legs
Slider Double Kettlebell Bottoms Up Overhead Reverse Lunge,Legs
Landmine Goblet Squat,Legs
Stability Ball Hamstring Curl,Legs
Slider Hamstring Curl,Legs
Bodyweight Hamstring Walkout ,Legs
Slider Dumbbell Goblet Reverse Lunge,Legs
Bodyweight Dragon Squat,Legs
Single Arm Dumbbell Front Rack Ipsilateral Cossack Squat to Overhead Press,Front Shoulder
Stability Ball Single Leg Hamstring Curl,Legs
Barbell Single Leg Romanian Deadlift,Legs
Double Dumbbell Suitcase Lateral Lunge,Legs
Barbell Zombie Walking Lunge,Legs
Barbell Overhead Walking Lunge,Legs
Barbell Squat Clean,Legs
Single Arm Landmine Split Clean to Split Jerk,Front Shoulder
Single Arm Landmine Hack Squat,Legs
Double Indian Club Lateral Arm Circles,Middle Shoulder
Resistance Band Shoulder Dislocates,Rear Shoulder
Suspension Reverse Grip Bicep Curl,Forearms
Cable Straight Bar Reverse Grip Bicep Curl,Forearms
Single Arm Cable Reverse Grip Bicep Curl,Forearms
Bar Eccentric Chin Up ,Biceps
Bar Eccentric Pull Up,Back
Landmine Half Kneeling Oblique Twist ,Abdominals
Single Arm Bar Dead Hang,Back
Single Arm Kettlebell Tall Kneeling Overhead Press,Front Shoulder
Alternating Double Kettlebell Tall Kneeling Overhead Press,Front Shoulder
Alternating Double Kettlebell Half Kneeling Overhead Press,Front Shoulder
Stability Ball Single Arm Forearm Plank,Abdominals
Stability Ball Feet Elevated Single Arm Forearm Plank,Abdominals
Landmine Zercher Skater Squat,Legs
Single Arm Landmine Front Rack Contralateral Reverse Lunge to Shoulder Press,Front Shoulder
Landmine Thruster,Legs
Landmine Romanian Deadlift,Legs
Landmine Single Leg Romanian Deadlift,Legs
Landmine Tall Kneeling Oblique Twist,Abdominals
Landmine Feet Elevated Russian Twist,Abdominals
Single Arm Landmine Thruster,Legs
Double Kettlebell Tall Kneeling Seesaw Overhead Press,Front Shoulder
Barbell Power Clean to Overhead Press,Front Shoulder
Single Arm Suspension Mid Row,Back
Landmine Zercher Curtsy Lunge,Legs
Barbell Back Rack Alternating Cossack Squat,Legs
Barbell Front Rack Alternating Cossack Squat,Legs
Slider Double Kettlebell Overhead Lateral Lunge,Legs
Dumbbell Goblet Alternating Cossack Squat,Legs
Bodyweight Alternating Cossack Squat,Legs
Bodyweight Knee Over Toe Split Squat ,Legs
Barbell Back Rack Knee Over Toe Split Squat,Legs
Barbell Front Rack Knee Over Toe Split Squat,Legs
Barbell Overhead Knee Over Toe Split Squat,Legs
EZ Bar Incline Bench Lying Tricep Extension,Triceps
EZ Bar Skull Crusher,Triceps
Slider Knee Tuck,Abdominals
EZ Bar Incline Bench Skull Crusher,Triceps
EZ Bar Decline Bench Skull Crusher,Triceps
EZ Bar Front Raise,Front Shoulder
Suspension Pike,Abdominals
Suspension Side Plank Reach Through,Abdominals
Bodyweight Cocoon Crunch,Abdominals
Ab Wheel Standing Rollout,Abdominals
Cable Fire Hydrant,Legs
Cable Tall Kneeling Pull Through,Legs
Stability Ball Bent Knee Reverse Hyperextension,Legs
Bodyweight Bench Bent Knee Reverse Hyperextension,Legs
Parallette Tuck L Sit,Abdominals
EZ Bar Close Grip Bicep Curl,Biceps
EZ Bar Overhead Press,Front Shoulder
Parallette Single Leg L Sit,Abdominals
Stability Ball Bottoms Up,Abdominals
Stability Ball Windshield Wiper,Abdominals
Stability Ball Tall Kneeling Balance,Abdominals
Stability Ball Oblique Crunch ,Abdominals
Stability Ball Forearm Plank,Abdominals
Slider Double Kettlebell Suitcase Lateral Lunge,Legs
Slider Kettlebell Horn Grip Lateral Lunge,Legs
Single Arm Dumbbell Turkish Sit Up,Abdominals
Single Arm Landmine Turkish Sit Up,Abdominals
Double Kettlebell Front Rack Cyclist Squat,Legs
Double Dumbbell Turkish Sit Up,Abdominals
Single Arm Kettlebell Front Rack Cyclist Squat,Legs
Single Arm Kettlebell Overhead Cyclist Squat,Legs
